MATH 1151
CSE 1222
ENGR 1181
ENGR 1100.15
CSE 2231
CSE 2321
ENGR 2367
STAT 3470
CSE 3902
CSE 2431
ECE 2020
Math 2568
CSE 2421
CSE 2331
Math 3345
ECE 2060
